"country","descrip_study","study_code","case_id","local_case_id","owner","education","interact_w_prof","gender_f1_m0","machin_s0_h1","assoc_inst","other_income","n_crops_tot","hive_use","commerce","access_credit","irrigation","fertil_yes1_no0","fertil_org1_ino0","family_tot_n","family_female_n","family_male_n","bee_importance","age","internet_access","certific","employee_tot_n","employee_male_n","employee_female_n","crops_area","property_ha","wild_veg_edge_incrop","wild_area_property","wild_area_ha","conserv_actions","activs_field0_admin1_both2","pestic_chem_appl_year","pestic_che0_org1"
"ecuador","habas_cotopaxi","HCO",101,"31",1,7,1,0,0,1,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,1,59,0,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",102,"32",1,7,1,0,1,NA,1,NA,0,NA,1,1,NA,NA,NA,NA,NA,0,53,0,0,0,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,NA
"ecuador","habas_cotopaxi","HCO",103,"33",1,12,1,0,1,1,0,2,0,1,1,0,NA,0,3,NA,NA,1,50,0,0,0,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",104,"34",1,12,1,0,NA,1,0,1,0,0,0,1,NA,1,2,NA,NA,1,54,0,0,0,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",105,"35",1,7,1,0,1,1,1,2,0,0,1,1,NA,0,NA,NA,NA,1,50,NA,0,NA,NA,NA,0.2,0.7,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",106,"36",1,12,1,0,1,1,1,2,0,1,1,1,NA,0,2,NA,NA,1,44,1,0,1,NA,NA,0.3,0.8,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",107,"37",1,7,1,1,1,0,0,2,0,1,1,1,NA,1,3,NA,NA,1,45,0,0,NA,NA,NA,0.1,0.6,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",108,"38",1,12,1,0,0,1,0,1,0,0,1,1,NA,0,1,NA,NA,1,38,1,0,0,NA,NA,0.0302,0.075,NA,NA,NA,NA,NA,NA,1
"ecuador","habas_cotopaxi","HCO",109,"39",1,0,1,1,1,1,0,2,0,0,0,1,NA,0,2,NA,NA,0,62,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",110,"40",1,7,1,1,1,1,1,2,0,1,0,1,NA,0,4,NA,NA,1,42,0,0,0,NA,NA,0.04,0.689,NA,NA,NA,NA,NA,NA,0
"ecuador","habas_cotopaxi","HCO",111,"41",1,15.5,1,0,0,0,0,2,0,1,0,NA,NA,1,5,NA,NA,1,22,1,0,0,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0
